x, f_1, f_2
2.562562562562562540e+00,-4.358765816474696742e-01,7.206075290313050941e-01
2.572572572572572547e+00,-4.230548912937430739e-01,7.237750335853895267e-01
2.582582582582582553e+00,-4.103168701488562609e-01,7.269440791328997120e-01
2.592592592592592560e+00,-3.976692319545929166e-01,7.301146604463057965e-01
2.602602602602602566e+00,-3.851186286942265835e-01,7.332867723359315359e-01
2.612612612612612573e+00,-3.726716477678737593e-01,7.364604096495351859e-01
2.622622622622622579e+00,-3.603348091963072264e-01,7.396355672718978314e-01
2.632632632632632586e+00,-3.481145628543635961e-01,7.428122401244160455e-01
2.642642642642642592e+00,-3.360172857350689490e-01,7.459904231647025430e-01
2.652652652652652598e+00,-3.240492792455971216e-01,7.491701113861909400e-01
2.662662662662662605e+00,-3.122167665361545996e-01,7.523512998177472877e-01
2.672672672672672611e+00,-3.005258898628826447e-01,7.555339835232869339e-01
2.682682682682682618e+00,-2.889827079858430237e-01,7.587181576013973805e-01
2.692692692692692624e+00,-2.775931936031473812e-01,7.619038171849656926e-01
2.702702702702702631e+00,-2.663632308222704248e-01,7.650909574408123470e-01
2.712712712712712637e+00,-2.552986126695756530e-01,7.682795735693294104e-01
2.722722722722722644e+00,-2.444050386390635987e-01,7.714696608041243797e-01
2.732732732732732650e+00,-2.336881122813393441e-01,7.746612144116692411e-01
2.742742742742742657e+00,-2.231533388337763046e-01,7.778542296909543019e-01
2.752752752752752663e+00,-2.128061228928403992e-01,7.810487019731463532e-01
2.762762762762762669e+00,-2.026517661295199613e-01,7.842446266212528272e-01
2.772772772772772676e+00,-1.926954650487857634e-01,7.874419990297899519e-01
2.782782782782782682e+00,-1.829423087939952008e-01,7.906408146244551238e-01
2.792792792792792689e+00,-1.733972769971278138e-01,7.938410688618049438e-01
2.802802802802802695e+00,-1.640652376757277819e-01,7.970427572289371376e-01
2.812812812812812702e+00,-1.549509451774052637e-01,8.002458752431763633e-01
2.822822822822822708e+00,-1.460590381727312481e-01,8.034504184517654579e-01
2.832832832832832715e+00,-1.373940376973412647e-01,8.066563824315600151e-01
2.842842842842842721e+00,-1.289603452440416520e-01,8.098637627887275148e-01
2.852852852852852727e+00,-1.207622409056930968e-01,8.130725551584506716e-01
2.862862862862862734e+00,-1.128038815696242869e-01,8.162827552046346691e-01
2.872872872872872740e+00,-1.050892991643107566e-01,8.194943586196180574e-01
2.882882882882882747e+00,-9.762239895902624642e-02,8.227073611238882034e-01
2.892892892892892753e+00,-9.040695791716157892e-02,8.259217584658001821e-01
2.902902902902902760e+00,-8.344662310387407356e-02,8.291375464212992208e-01
2.912912912912912766e+00,-7.674491014871809291e-02,8.323547207936474734e-01
2.922922922922922773e+00,-7.030520176387711206e-02,8.355732774131536811e-01
2.932932932932932779e+00,-6.413074631859982944e-02,8.387932121369073846e-01
2.942942942942942786e+00,-5.822465647041996650e-02,8.420145208485153576e-01
2.952952952952952792e+00,-5.258990785371187027e-02,8.452371994578429248e-01
2.962962962962962798e+00,-4.722933782611671294e-02,8.484612439007573892e-01
2.972972972972972805e+00,-4.214564427334688279e-02,8.516866501388761224e-01
2.982982982982982811e+00,-3.734138447285340057e-02,8.549134141593164316e-01
2.992992992992992818e+00,-3.281897401681632687e-02,8.581415319744502002e-01
3.003003003003002824e+00,-2.858068579489769778e-02,8.613709996216606379e-01
3.013013013013012831e+00,-2.462864903716643905e-02,8.646018131631024728e-01
3.023023023023022837e+00,-2.096484841758561313e-02,8.678339686854655843e-01
3.033033033033032844e+00,-1.759112321842437598e-02,8.710674622997413019e-01
3.043043043043042850e+00,-1.450916655593514903e-02,8.743022901409913672e-01
3.053053053053052857e+00,-1.172052466760808986e-02,8.775384483681210046e-01
3.063063063063062863e+00,-9.226596261292852041e-03,8.807759331636534350e-01
3.073073073073072869e+00,-7.028631926452866274e-03,8.840147407335082752e-01
3.083083083083082876e+00,-5.127733607788176329e-03,8.872548673067822689e-01
3.093093093093092882e+00,-3.524854141443101163e-03,8.904963091355327931e-01
3.103103103103102889e+00,-2.220796853984796648e-03,8.937390624945645845e-01
3.113113113113112895e+00,-1.216215224316363752e-03,8.969831236812183528e-01
3.123123123123122902e+00,-5.116126086619487978e-04,9.002284890151623920e-01
3.133133133133132908e+00,-1.073420287341919632e-04,9.034751548381871888e-01
3.143143143143142915e+00,-3.606023170510397335e-06,9.067231175140015864e-01
3.153153153153152921e+00,-2.004565622991671958e-04,9.099723734280327214e-01
3.163163163163162928e+00,-6.977950262685439498e-04,9.132229189872271835e-01
3.173173173173172934e+00,-1.495372246549275808e-03,9.164747506198556160e-01
3.183183183183182940e+00,-2.592788610791707526e-03,9.197278647753187597e-01
3.193193193193192947e+00,-3.989494230997481239e-03,9.229822579239571612e-01
3.203203203203202953e+00,-5.684789174935089839e-03,9.262379265568616571e-01
3.213213213213213404e+00,-7.677823760707247480e-03,9.294948671856874123e-01
3.223223223223223410e+00,-9.967598914349840022e-03,9.327530763424692895e-01
3.233233233233233417e+00,-1.255296659031768236e-02,9.360125505794401057e-01
3.243243243243243423e+00,-1.543263025468633032e-02,9.392732864688509986e-01
3.253253253253253430e+00,-1.860514543087332662e-02,9.425352806027933461e-01
3.263263263263263436e+00,-2.206892030765994495e-02,9.457985295930235736e-01
3.273273273273273443e+00,-2.582221640926363193e-02,9.490630300707892930e-01
3.283283283283283449e+00,-2.986314932719169590e-02,9.523287786866582172e-01
3.293293293293293456e+00,-3.418968951357814756e-02,9.555957721103489622e-01
3.303303303303303462e+00,-3.879966313568283809e-02,9.588640070305630703e-01
3.313313313313313468e+00,-4.369075299120583900e-02,9.621334801548201421e-01
3.323323323323323475e+00,-4.886049948404513898e-02,9.654041882092939675e-01
3.333333333333333481e+00,-5.430630166010375071e-02,9.686761279386513213e-01
3.343343343343343488e+00,-6.002541830272367651e-02,9.719492961058919800e-01
3.353353353353353494e+00,-6.601496908730442037e-02,9.752236894921910704e-01
3.363363363363363501e+00,-7.227193579463619955e-02,9.784993048967428608e-01
3.373373373373373507e+00,-7.879316358245702645e-02,9.817761391366066626e-01
3.383383383383383514e+00,-8.557536231471662980e-02,9.850541890465543959e-01
3.393393393393393520e+00,-9.261510794800864588e-02,9.883334514789201553e-01
3.403403403403403527e+00,-9.990884397460786381e-02,9.916139233034505507e-01
3.413413413413413533e+00,-1.074528829215288805e-01,9.948956014071581588e-01
3.423423423423423539e+00,-1.152434079049955429e-01,9.981784826941755284e-01
3.433433433433433546e+00,-1.232764742396925683e-01,1.001462564085611406e+00
3.443443443443443552e+00,-1.315480111021445353e-01,1.004747842519408518e+00
3.453453453453453559e+00,-1.400538232475494471e-01,1.008034314950202015e+00
3.463463463463463565e+00,-1.487895927793688733e-01,1.011321978349181805e+00
3.473473473473473572e+00,-1.577508809709559090e-01,1.014610829703953998e+00
3.483483483483483578e+00,-1.669331301384840982e-01,1.017900866018404571e+00
3.493493493493493585e+00,-1.763316655644144859e-01,1.021192084312565918e+00
3.503503503503503591e+00,-1.859416974707227554e-01,1.024484481622482734e+00
3.513513513513513598e+00,-1.957583230410839814e-01,1.027778055000081459e+00
3.523523523523523604e+00,-2.057765284911937664e-01,1.031072801513039261e+00
3.533533533533533610e+00,-2.159911911863884315e-01,1.034368718244655927e+00
3.543543543543543617e+00,-2.263970818057003953e-01,1.037665802293726403e+00
3.553553553553553623e+00,-2.369888665514743309e-01,1.040964050774414895e+00
3.563563563563563630e+00,-2.477611094036443751e-01,1.044263460816130529e+00
3.573573573573573636e+00,-2.587082744177584548e-01,1.047564029563404109e+00
3.583583583583583643e+00,-2.698247280658166991e-01,1.050865754175766220e+00
3.593593593593593649e+00,-2.811047416189728088e-01,1.054168631827627323e+00
3.603603603603603656e+00,-2.925424935711320451e-01,1.057472659708157403e+00
3.613613613613613662e+00,-3.041320721024605156e-01,1.060777835021169624e+00
3.623623623623623669e+00,-3.158674775818063329e-01,1.064084154985001751e+00
3.633633633633633675e+00,-3.277426251070159058e-01,1.067391616832403134e+00
3.643643643643643681e+00,-3.397513470821131865e-01,1.070700217810418131e+00
3.653653653653653688e+00,-3.518873958302966010e-01,1.074009955180275311e+00
3.663663663663663694e+00,-3.641444462416902894e-01,1.077320826217273986e+00
3.673673673673673701e+00,-3.765160984547754608e-01,1.080632828210674967e+00
3.683683683683683707e+00,-3.889958805704123446e-01,1.083945958463589987e+00
3.693693693693693714e+00,-4.015772513973494551e-01,1.087260214292875116e+00
3.703703703703703720e+00,-4.142536032281047276e-01,1.090575593029021295e+00
3.713713713713713727e+00,-4.270182646440918717e-01,1.093892092016051087e+00
3.723723723723723733e+00,-4.398645033488491340e-01,1.097209708611411427e+00
3.733733733733733740e+00,-4.527855290282226663e-01,1.100528440185871260e+00
3.743743743743743746e+00,-4.657744962363380425e-01,1.103848284123418511e+00
3.753753753753753752e+00,-4.788245073061904722e-01,1.107169237821158170e+00
3.763763763763763759e+00,-4.919286152836669923e-01,1.110491298689212147e+00
3.773773773773773765e+00,-5.050798268838114780e-01,1.113814464150619354e+00
3.783783783783783772e+00,-5.182711054681258256e-01,1.117138731641237115e+00
3.793793793793793778e+00,-5.314953740417017736e-01,1.120464098609644354e+00
